Time;Open;High;Low;Close;Volume
10-12-2018;88.7;90.4;82.6;84.3;48
11-12-2018;85.1;86.7;80.6;82;48
12-12-2018;82.9;86.5;81.3;84.1;48
13-12-2018;84.8;85.9;79;81.4;48
14-12-2018;81.3;82.1;76.8;76.9;44
16-12-2018;79;80.1;78.6;79.5;4
17-12-2018;79.4;92.2;78.8;89.3;48
18-12-2018;89.5;96.9;87;96;48
19-12-2018;96;103.1;93.6;94.4;48
20-12-2018;94.8;112.2;93.8;109.5;53
21-12-2018;109.9;114.3;100.5;103;45
23-12-2018;125;125.7;123.2;124.9;4
24-12-2018;124.7;154.1;124.5;137.3;55
25-12-2018;125.2;126.6;121.5;123.8;4
26-12-2018;123.9;131.7;118.8;125.5;53
27-12-2018;125.5;127;107.6;109.5;51
28-12-2018;109.5;133.4;108.3;129.3;45
30-12-2018;133.1;134.8;132.5;133.9;4
31-12-2018;133.2;134.2;124.3;125.7;44
1-1-2019;132.7;135.9;131.9;134.8;4
2-1-2019;134.5;151.8;133.9;148.4;49
3-1-2019;148.5;149.6;139.6;142.3;49
4-1-2019;142.7;150.8;140.5;149.1;45
6-1-2019;150.8;151.6;149.3;150.8;4
7-1-2019;150.8;152.2;143.9;145.4;48
8-1-2019;145.4;148;141.5;144;48
9-1-2019;144.6;147.8;143.4;144.4;48
10-1-2019;144.2;145.9;117.4;121.1;52
11-1-2019;121.1;123.7;117;120.4;44
13-1-2019;110.5;110.9;109.8;110.5;4
14-1-2019;110.5;126.4;110.3;123.4;49
15-1-2019;122.4;125.5;112.2;115.1;50
16-1-2019;115.3;122.7;114.5;117.2;49
17-1-2019;117.3;119;112.7;117.5;48
18-1-2019;117.4;117.9;113.5;114.9;44
20-1-2019;112.6;113.3;112.4;112.8;4
21-1-2019;112.5;113.5;109.2;111.2;48
22-1-2019;111.3;114.9;106.7;113.3;48
23-1-2019;113.3;114.3;110.1;111.9;48
24-1-2019;111.9;112.6;109.3;111.8;48
25-1-2019;111.8;112.6;109.5;110.6;44
27-1-2019;107.9;108.6;106.7;107;4
28-1-2019;107.6;107.9;96.4;100.9;48
29-1-2019;101;101.6;97.7;99;48
30-1-2019;99.5;104.8;98.5;103.3;48
31-1-2019;103;105.6;100;101.4;48
1-2-2019;101.3;102.6;98.3;102.1;44
3-2-2019;100.1;102.5;99.9;101.9;4
4-2-2019;102.1;103.7;100.5;102.2;48
5-2-2019;101.5;102.7;100.3;101.1;48
6-2-2019;102.1;102.8;95.9;98.3;48
7-2-2019;98.7;100.9;97.9;99.2;48
8-2-2019;98.8;117.8;97.6;112.4;46
10-2-2019;112.4;120.6;112.4;119;4
11-2-2019;120;120.5;113.5;115.3;49
12-2-2019;115.6;117.8;112.8;116.4;48
13-2-2019;116.4;120.5;114.9;116.1;48
14-2-2019;116.1;118.6;114.4;114.9;48
15-2-2019;114.9;118.5;114.4;115.4;44
17-2-2019;124.1;129.6;124.1;127.3;4
18-2-2019;127.7;143.2;126.5;140.1;48
19-2-2019;140.1;144.6;137.7;137.7;48
20-2-2019;138.1;144.1;135.1;142.4;48
21-2-2019;142.2;144.3;137.1;139.9;48
22-2-2019;139.9;143.2;137.7;142;44
24-2-2019;133.9;134.1;126.3;126.8;16
25-2-2019;126.7;136.6;126.3;133.2;72
26-2-2019;133.2;133.6;128.5;131.4;48
27-2-2019;131.4;135.4;121.7;129.9;48
28-2-2019;129.9;134.2;127.4;130.2;48
1-3-2019;130.2;133.2;129.5;131.7;44
3-3-2019;125.8;126.5;123.2;124.8;4
4-3-2019;125.5;126;118.3;120.8;48
5-3-2019;120.9;133.2;119.8;132;48
6-3-2019;132;135.9;129;132.7;48
7-3-2019;132.7;135.3;130.3;131.8;48
8-3-2019;131.8;134.3;129.9;130.5;44
10-3-2019;130.4;131.3;129.6;129.6;6
11-3-2019;129.7;131;125.6;127.6;48
12-3-2019;127.7;130;123.5;127.8;48
13-3-2019;127.9;128.5;125.3;126.8;48
14-3-2019;126.8;130.1;124.5;127;48
15-3-2019;127;132.5;126.5;130.9;42
17-3-2019;134.7;134.8;133;133.7;6
18-3-2019;133.7;136.8;131.1;132.6;48
19-3-2019;132.6;134.3;131.4;133.6;48
20-3-2019;133.8;135;131.1;134.4;48
21-3-2019;134.4;134.8;127.9;130;48
22-3-2019;130;132.6;129.3;131.5;42
24-3-2019;130.5;131.4;130;131;6
25-3-2019;131.1;131.8;126.4;128.1;48
26-3-2019;128.7;129.4;126.7;128.1;48
27-3-2019;128.8;135.3;128.1;134.1;48
28-3-2019;134.7;134.7;131.8;133.1;48
29-3-2019;133.1;137.4;132.1;135.5;42
31-3-2019;136.6;137.1;135.6;136.8;6
1-4-2019;136.8;138.5;134.6;136.7;49
2-4-2019;136.6;163;135.9;160.2;48
3-4-2019;160.3;175.6;148.4;156.9;50
4-4-2019;156.9;160.5;149;153.2;48
5-4-2019;153.3;163.9;151.5;158.8;42
7-4-2019;169.1;172;167.4;170.4;6
8-4-2019;170.5;182.8;169.4;176.1;48
9-4-2019;176.1;176.4;170;171.4;48
10-4-2019;171.4;180.8;166.2;173.1;48
11-4-2019;173.2;173.5;156.2;160.5;48
12-4-2019;160.6;163.1;155.1;158.8;42
14-4-2019;160.2;164.7;160.2;163.7;6
15-4-2019;163.8;165;151.7;155.7;48
16-4-2019;155.6;163.3;154.8;162;48
17-4-2019;161.9;164;160.1;161.6;48
18-4-2019;162.1;171.6;161.4;169.7;48
19-4-2019;169.7;169.8;165;167.6;42
21-4-2019;163.7;166;163.7;165.4;6
22-4-2019;165.3;169.2;163.4;166.5;48
23-4-2019;167;172.5;164.5;165.9;48
24-4-2019;165.8;166.6;155.8;161.2;48
25-4-2019;161.2;162;142.6;147.6;49
26-4-2019;147.6;151.3;144;146.7;42
28-4-2019;149.3;149.3;148.3;148.8;6
29-4-2019;148.8;150.3;144.4;147.9;48
30-4-2019;147.9;156.5;147.5;155.8;48
1-5-2019;155.9;158.3;151.8;153.9;48
2-5-2019;153.8;156.1;151.4;154.2;48
3-5-2019;154.3;164.5;152.8;160.9;42
5-5-2019;156.8;157.1;156.2;156.3;7
6-5-2019;156.4;171.3;152.9;166.8;63
7-5-2019;166.8;176.2;161.1;161.9;48
8-5-2019;161.9;167.8;158.2;165.4;48
9-5-2019;165.5;169.1;160.8;166;48
10-5-2019;166.1;171.9;163.3;166.6;42
12-5-2019;186.1;186.8;181.3;184.1;6
13-5-2019;184.1;204.4;181.4;192;51
14-5-2019;192.1;216.5;191.1;213.2;49
15-5-2019;213.3;246.5;213.1;244.8;48
16-5-2019;244.7;275.8;238.3;260.5;58
17-5-2019;260.5;265.2;219.2;228.3;48
19-5-2019;253.1;260.5;252.2;256.9;6
20-5-2019;256.8;256.8;235.3;248.2;49
21-5-2019;248.3;260.2;243.7;250.6;50
22-5-2019;250.5;257.2;236.2;239.5;51
23-5-2019;239.4;244.5;227.1;241.4;48
24-5-2019;241.5;251.9;237.7;248.9;42
27-5-2019;264.1;275.5;260.4;267.2;49
28-5-2019;267.3;272.3;261.3;267;48
29-5-2019;266.9;270.1;256.2;265.3;48
30-5-2019;265.3;284.6;235;250.4;53
31-5-2019;250.5;260;241.2;257.6;44
2-6-2019;263.8;266.8;262.1;265.1;4
3-6-2019;265.1;266;243.3;245.5;53
4-6-2019;245.4;246.7;228.8;236.8;51
5-6-2019;236.9;244.8;233.4;242;48
6-6-2019;242;246.7;231.8;245.2;48
7-6-2019;245.3;250.1;240.8;242.8;42
9-6-2019;226.4;228.3;222.7;227.3;4
10-6-2019;227.3;244.1;223.3;243.7;48
11-6-2019;243.7;244.9;233.4;241.1;48
12-6-2019;241.2;259.4;238.8;258.7;48
13-6-2019;258.8;260.4;250.2;251.1;48
14-6-2019;251.1;254.5;248.2;253.8;42
16-6-2019;261.9;267.3;261.7;264.1;6
17-6-2019;264.2;271.6;262.7;269.7;48
18-6-2019;269.8;270.1;256.5;260.2;48
19-6-2019;260.1;265.9;258.5;264.7;48
20-6-2019;264.8;270.3;261.8;267.9;48
21-6-2019;268;292.7;267.7;291;66
23-6-2019;309.4;313.6;300.5;303.4;35
24-6-2019;303.5;309.9;292.2;307.8;240
25-6-2019;306.7;314.3;301.8;312.4;210
26-6-2019;313.4;360.3;310.7;331.5;420
27-6-2019;331.6;340.3;271.3;290.5;528
28-6-2019;290.4;309.5;286.7;302.7;330
30-6-2019;299.2;299.3;282.7;285.7;44
1-7-2019;287.2;298.2;274.6;290.5;332
2-7-2019;290.6;292.9;267.3;288;330
3-7-2019;287.1;300.4;285.9;298.9;260
4-7-2019;298.8;300.2;277.1;279.6;216
5-7-2019;279.7;291.8;276.8;283.7;200
7-7-2019;302.7;307.7;301.1;303.1;23
8-7-2019;302.1;311.9;298.4;310.2;180
9-7-2019;310.1;315.5;299.2;304.7;204
10-7-2019;304.6;311.7;278.7;285.6;271
11-7-2019;284.4;285.6;259.3;265.6;318
12-7-2019;265.7;276.9;262.4;274.1;214
14-7-2019;232.5;237;219.7;223;34
15-7-2019;222.9;232.6;199.9;225.2;333
16-7-2019;225.1;231.5;187.7;195.7;366
17-7-2019;195.8;216.9;189.4;208.3;320
18-7-2019;208.4;226.9;203;222.1;292
19-7-2019;223.2;223.7;210.2;217.4;248
21-7-2019;219.1;223.7;219.1;221.5;18
22-7-2019;221.4;225.2;208.3;214.1;212
23-7-2019;213.1;216.2;204.8;208.9;177
24-7-2019;209;215.1;197.9;213.4;207
25-7-2019;213.5;222.8;211.7;216.2;195
26-7-2019;216.1;217.6;209.2;215.2;152
28-7-2019;203.4;210.3;194.7;208.2;35
29-7-2019;208.3;212.2;203;207.6;166
30-7-2019;206.5;211.5;201.2;206.7;143
31-7-2019;206.8;215.8;205.5;215.6;137
1-8-2019;215.5;215.9;207.9;213.4;123
2-8-2019;213.3;219.8;210.9;212.7;102
4-8-2019;217.7;220.7;216.1;218.7;14
5-8-2019;219.8;233.9;218.8;229.8;163
6-8-2019;229.9;236.5;218.6;222.9;161
7-8-2019;222.8;228.1;217.2;223;164
8-8-2019;221.9;223.5;211.5;217.8;126
9-8-2019;216.8;218.2;202.7;206.2;114
11-8-2019;211.1;213.6;208.9;213.1;11
12-8-2019;213.2;213.5;205.9;207.1;96
13-8-2019;208.1;208.2;199.8;205.4;109
14-8-2019;204.3;206.1;178.9;183.3;156
15-8-2019;183.2;186.7;170.6;185;178
16-8-2019;184.9;185;175.2;181;132
18-8-2019;190.9;193.9;190.2;190.5;12
19-8-2019;190.5;200.5;188.9;199.3;121
20-8-2019;199.4;199.8;190.6;193.5;99
21-8-2019;193.4;194;176.9;184;121
22-8-2019;184.2;192;178.8;186.4;130
23-8-2019;186.4;193.6;184.6;189.7;96
25-8-2019;179.9;183.6;178.9;183.4;10
26-8-2019;183.5;191.2;181.6;185.3;92
